,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,epoch,run,test
0,0.30924269556999207,0.9456570155902004,16.9824,396.588,11.39,./results/bert-base-uncased-SST2-SibylCollator-SIB,ORIG
1,0.2786868214607239,0.941796585003712,16.8816,398.954,8.89,./results/bert-base-uncased-SST2-SibylCollator-INVSIB,ORIG
2,0.3424208164215088,0.9499628804751299,16.9163,398.137,15.28,./results/bert-base-uncased-SST2-SibylCollator-TextMix,ORIG
3,0.3161071836948395,0.9452115812917594,16.9613,397.081,11.39,./results/bert-base-uncased-SST2-SibylCollator-SentMix,ORIG
4,0.34176015853881836,0.9407572383073497,16.9557,397.211,12.23,./results/bert-base-uncased-SST2-SibylCollator-WordMix,ORIG
5,0.3097722828388214,0.9354120267260579,16.4871,408.501,11.67,./results/roberta-base-SST2-SibylCollator-SIB,ORIG
6,0.3343621790409088,0.9429844097995546,16.5578,406.758,15.84,./results/roberta-base-SST2-SibylCollator-INVSIB,ORIG
7,0.32621678709983826,0.9426874536005939,16.5737,406.367,10.0,./results/roberta-base-SST2-SibylCollator-TextMix,ORIG
8,0.3282404839992523,0.9420935412026726,16.5362,407.287,12.5,./results/roberta-base-SST2-SibylCollator-SentMix,ORIG
9,0.27456676959991455,0.9287305122494433,16.4983,408.223,7.78,./results/roberta-base-SST2-SibylCollator-WordMix,ORIG
10,0.23529624938964844,0.9233853006681515,26.4024,255.091,3.89,./results/xlnet-base-cased-SST2-SibylCollator-SIB,ORIG
