,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,epoch,run,test
0,0.2793702483177185,0.9313157894736842,113.758,66.808,3.54,./results/bert-base-uncased-SibylCollator-SIB,ORIG
1,0.29319846630096436,0.9277631578947368,112.877,67.33,3.28,./results/bert-base-uncased-SibylCollator-INVSIB,ORIG
2,0.3259882926940918,0.9278947368421052,113.6751,66.857,3.54,./results/bert-base-uncased-SibylCollator-TextMix,ORIG
3,0.32576125860214233,0.925,113.0304,67.239,3.28,./results/bert-base-uncased-SibylCollator-SentMix,ORIG
4,0.2749074697494507,0.9261842105263158,112.7674,67.395,3.28,./results/bert-base-uncased-SibylCollator-WordMix,ORIG
5,0.3537070155143738,0.9221052631578948,110.1731,68.982,3.28,./results/roberta-base-SibylCollator-SIB,ORIG
6,0.35579848289489746,0.9282894736842106,107.7642,70.524,4.8,./results/roberta-base-SibylCollator-INVSIB,ORIG
7,0.27471262216567993,0.9311842105263158,109.032,69.704,3.28,./results/roberta-base-SibylCollator-TextMix,ORIG
8,0.3329855799674988,0.921578947368421,110.017,69.08,3.28,./results/roberta-base-SibylCollator-SentMix,ORIG
9,0.2905588448047638,0.9277631578947368,111.5945,68.104,3.54,./results/roberta-base-SibylCollator-WordMix,ORIG
10,0.2926712930202484,0.9301315789473684,241.974,31.408,3.54,./results/xlnet-base-cased-SibylCollator-SIB,ORIG
11,0.35648804903030396,0.9244736842105263,242.7723,31.305,3.79,./results/xlnet-base-cased-SibylCollator-INVSIB,ORIG
12,0.3926885724067688,0.9217105263157894,242.6244,31.324,3.54,./results/xlnet-base-cased-SibylCollator-TextMix,ORIG
13,0.32802721858024597,0.9264473684210527,246.4713,30.835,3.54,./results/xlnet-base-cased-SibylCollator-SentMix,ORIG
14,0.33383435010910034,0.9285526315789474,247.9231,30.655,3.54,./results/xlnet-base-cased-SibylCollator-WordMix,ORIG
